GALAXY ENTERTAINMENT GROUP LIMITED,30846000,0.71%,
MELCO INTERNATIONAL DEVELOPMENT LIMITED,24735000,1.59%,
SJM HOLDINGS LIMITED,222057200,3.92%,
WYNN MACAU LIMITED,31514000,0.60%,
SANDS CHINA LTD.,37765200,0.46%,
MGM CHINA HOLDINGS LIMITED,15111600,0.39%,
